modelo,representacao,protocolo_features,subset_features,variante,features_usadas,n_features,thr,f1,precision,recall,false_alarm_rate,accuracy,balanced_accuracy,mcc,avg_precision,objective_score,tp,fp,fn,tn
Random Forest,composite,current,current_full_6,rf,"js, fro, rare, cos, euclid, avg_pool",6,0.5,0.7018633540372672,0.7223524398039634,0.6825045298973224,0.01668715742021413,0.9653225126729359,0.8329086862385542,0.6837798215484985,0.6332312785404015,0.9042500204998308,3390.0,1303.0,1577.0,76781.0
Random Forest,idle,legacy,legacy_mv,rf,"js, fro, d_js, d_fro, rare",5,0.5,0.704534253326762,0.9079072721498889,0.5755989530903967,0.0037139490804774344,0.9711261754825349,0.7859425020049596,0.7100217614583593,0.6803843778685408,0.8997199966498348,2859.0,290.0,2108.0,77794.0
ANN (MLP),idle,current,current_geom_4,mlp,"js, fro, cos, euclid",4,0.5,0.705761316872428,0.9768600925596298,0.5524461445540568,0.0008324368628656319,0.9724506628457213,0.7758068538455956,0.7235797667909902,0.6320358220668905,0.899421677431824,2744.0,65.0,2223.0,78019.0
ANN (MLP),idle,current,current_full_6,mlp,"js, fro, rare, cos, euclid, avg_pool",6,0.5,0.7039120429557659,0.9642732049036777,0.5542581034829878,0.0013062855386506839,0.9721135206078193,0.7764759089721686,0.719674287897176,0.6252959264300302,0.8975738202602803,2753.0,102.0,2214.0,77982.0
ANN (MLP),idle,current,current_pair_cos_euclid,mlp,"cos, euclid",2,0.5,0.7004513217279174,0.9741750358680057,0.5468089389973827,0.0009220839096357768,0.9720292350483438,0.7729434275438735,0.7186652805252253,0.6210275884671073,0.8933644492455132,2716.0,72.0,2251.0,78012.0
Random Forest,idle,current,current_full_6,rf,"js, fro, rare, cos, euclid, avg_pool",6,0.5,0.6989071724657706,0.9291917167668671,0.560096637809543,0.002715024845038676,0.9711382162767456,0.7786908064822522,0.7090146201251173,0.6131743346490419,0.8926296153905702,2782.0,212.0,2185.0,77872.0
KAN (pykan),composite,current,current_full_6,"width=[6,8,2],grid=3,k=3,steps=25","js, fro, rare, cos, euclid, avg_pool",6,0.5,0.6991828396322778,0.9556719022687609,0.5512381719347694,0.0016264535628297732,0.9716318888393879,0.7748058591859699,0.7141221473488393,0.7076969978356411,0.8923150456817799,2738.0,127.0,2229.0,77957.0
Random Forest,idle,current,current_geom_4,rf,"js, fro, cos, euclid",4,0.5,0.6981488477521723,0.9320780094149294,0.5580833501107308,0.0025869576353670406,0.9711382162767456,0.7777481962376819,0.7088999895891142,0.6104525925668556,0.8916804616392143,2772.0,202.0,2195.0,77882.0
KAN (pykan),idle,current,current_full_6,"width=[6,8,2],grid=3,k=3,steps=25","js, fro, rare, cos, euclid, avg_pool",6,0.5,0.696576763485477,0.9785063752276867,0.5407690759009463,0.0007555965370626505,0.9718245415467605,0.7700067396819418,0.7162877686820924,0.6359524570563184,0.8888139896179906,2686.0,59.0,2281.0,78025.0
KAN (pykan),composite,current,current_geom_4,"width=[4,8,2],grid=3,k=3,steps=25","js, fro, cos, euclid",4,0.5,0.694152923538231,0.9147184721764899,0.5592913227300181,0.003316940730495364,0.9705241357719955,0.7779871909997613,0.7023886744724587,0.7108304079161194,0.887488792032498,2778.0,259.0,2189.0,77825.0
ANN (MLP),len,current,current_full_6,mlp,"js, fro, rare, cos, euclid, avg_pool",6,0.5,0.6919132149901379,0.9973464746019712,0.5296959935574793,8.964704677014497e-05,0.9717884191641281,0.7648031732553546,0.7161116831723001,0.6460313103447969,0.883082631837607,2631.0,7.0,2336.0,78077.0
ANN (MLP),composite,current,current_pair_cos_euclid,mlp,"cos, euclid",2,0.5,0.6890274314214464,0.9050114641336391,0.5562713911817999,0.0037139490804774344,0.9699702592382994,0.7762787210506612,0.6963099034055972,0.7203754270325635,0.8817972295059446,2763.0,290.0,2204.0,77794.0
ANN (MLP),len,current,current_geom_4,mlp,"js, fro, cos, euclid",4,0.5,0.6896642182581321,0.9894617990214528,0.5292933360177169,0.0003585881870805799,0.97151148089728,0.7644673739153182,0.7127260113609808,0.6463663503675886,0.8806555558714834,2629.0,28.0,2338.0,78056.0
